ID ведомства из ФРГУ,Название ведомства,Код ОКАТО региона предоставления,Источник получения данных с оценками,Идентификатор источника получения данных,Идентификатор в ИАС МКГУ,ID услуги из ФРГУ,Название услуги,Дата получения услуги,Идентификатор оцениваемого критерия (показателя),Наименование оцениваемого критерия (показателя),Значение показателя,Единицы измерения оценки (показателя),Дата и время получения оценки,"Мнение получателя услуги, выраженное в текстовом комментарии"
10001737845,,,Телефонный центр,4,750485,10000011206,,2014-04-04 00:00:00 UTC,9,Время предоставления государственной услуги,4,баллы,2014-02-05 08:17:06 UTC,
10001737845,,,Телефонный центр,4,750486,10000011206,,2014-04-04 00:00:00 UTC,10,Время ожидания в очереди при получении государственной услуги,5,баллы,2014-02-05 08:17:06 UTC,
10001737845,,,Телефонный центр,4,750487,10000011206,,2014-04-04 00:00:00 UTC,11,"Вежливость и компетентность сотрудника, взаимодействующего с заявителем при предоставлении государственной услуги",5,баллы,2014-02-05 08:17:06 UTC,
10001737845,,,Телефонный центр,4,750488,10000011206,,2014-04-04 00:00:00 UTC,12,"Комфортность условий в помещении, в котором предоставлена государственная услуга",5,баллы,2014-02-05 08:17:06 UTC,
10001737845,,,Телефонный центр,4,750489,10000011206,,2014-04-04 00:00:00 UTC,13,Доступность информации о порядке предоставления государственной услуги,4,баллы,2014-02-05 08:17:06 UTC,
22238,,,Телефонный центр,4,803402,10000011206,,2014-04-15 00:00:00 UTC,9,Время предоставления государственной услуги,1,баллы,2014-02-27 05:04:57 UTC,
22238,,,Телефонный центр,4,803403,10000011206,,2014-04-15 00:00:00 UTC,10,Время ожидания в очереди при получении государственной услуги,5,баллы,2014-02-27 05:04:57 UTC,
22238,,,Телефонный центр,4,803404,10000011206,,2014-04-15 00:00:00 UTC,11,"Вежливость и компетентность сотрудника, взаимодействующего с заявителем при предоставлении государственной услуги",5,баллы,2014-02-27 05:04:57 UTC,
22238,,,Телефонный центр,4,803405,10000011206,,2014-04-15 00:00:00 UTC,12,"Комфортность условий в помещении, в котором предоставлена государственная услуга",5,баллы,2014-02-27 05:04:57 UTC,
22238,,,Телефонный центр,4,803406,10000011206,,2014-04-15 00:00:00 UTC,13,Доступность информации о порядке предоставления государственной услуги,1,баллы,2014-02-27 05:04:57 UTC,
13760,,,Телефонный центр,4,880894,10000011206,,2014-04-10 00:00:00 UTC,9,Время предоставления государственной услуги,3,баллы,2014-03-14 11:59:19 UTC,
13760,,,Телефонный центр,4,880895,10000011206,,2014-04-10 00:00:00 UTC,10,Время ожидания в очереди при получении государственной услуги,2,баллы,2014-03-14 11:59:19 UTC,
13760,,,Телефонный центр,4,880896,10000011206,,2014-04-10 00:00:00 UTC,11,"Вежливость и компетентность сотрудника, взаимодействующего с заявителем при предоставлении государственной услуги",4,баллы,2014-03-14 11:59:19 UTC,
13760,,,Телефонный центр,4,880897,10000011206,,2014-04-10 00:00:00 UTC,12,"Комфортность условий в помещении, в котором предоставлена государственная услуга",3,баллы,2014-03-14 11:59:19 UTC,
13760,,,Телефонный центр,4,880898,10000011206,,2014-04-10 00:00:00 UTC,13,Доступность информации о порядке предоставления государственной услуги,4,баллы,2014-03-14 11:59:19 UTC,
10001738955,,,Телефонный центр,4,920064,10000011206,,2014-04-01 00:00:00 UTC,9,Время предоставления государственной услуги,3,баллы,2014-03-28 08:01:19 UTC,
10001738955,,,Телефонный центр,4,920065,10000011206,,2014-04-01 00:00:00 UTC,10,Время ожидания в очереди при получении государственной услуги,1,баллы,2014-03-28 08:01:19 UTC,
10001738955,,,Телефонный центр,4,920066,10000011206,,2014-04-01 00:00:00 UTC,11,"Вежливость и компетентность сотрудника, взаимодействующего с заявителем при предоставлении государственной услуги",3,баллы,2014-03-28 08:01:19 UTC,
10001738955,,,Телефонный центр,4,920067,10000011206,,2014-04-01 00:00:00 UTC,12,"Комфортность условий в помещении, в котором предоставлена государственная услуга",2,баллы,2014-03-28 08:01:19 UTC,
10001738955,,,Телефонный центр,4,920068,10000011206,,2014-04-01 00:00:00 UTC,13,Доступность информации о порядке предоставления государственной услуги,4,баллы,2014-03-28 08:01:19 UTC,
10001737721,,,Телефонный центр,4,920766,10000013628,,2014-04-01 00:00:00 UTC,9,Время предоставления государственной услуги,3,баллы,2014-03-28 08:02:35 UTC,
10001737721,,,Телефонный центр,4,920767,10000013628,,2014-04-01 00:00:00 UTC,10,Время ожидания в очереди при получении государственной услуги,2,баллы,2014-03-28 08:02:35 UTC,
10001737721,,,Телефонный центр,4,920768,10000013628,,2014-04-01 00:00:00 UTC,11,"Вежливость и компетентность сотрудника, взаимодействующего с заявителем при предоставлении государственной услуги",4,баллы,2014-03-28 08:02:35 UTC,
10001737721,,,Телефонный центр,4,920769,10000013628,,2014-04-01 00:00:00 UTC,12,"Комфортность условий в помещении, в котором предоставлена государственная услуга",3,баллы,2014-03-28 08:02:35 UTC,
10001737721,,,Телефонный центр,4,920770,10000013628,,2014-04-01 00:00:00 UTC,13,Доступность информации о порядке предоставления государственной услуги,3,баллы,2014-03-28 08:02:36 UTC,
10001744045,,,Телефонный центр,4,921778,10000011206,,2014-04-03 00:00:00 UTC,9,Время предоставления государственной услуги,4,баллы,2014-03-28 10:58:42 UTC,
10001744045,,,Телефонный центр,4,921779,10000011206,,2014-04-03 00:00:00 UTC,10,Время ожидания в очереди при получении государственной услуги,1,баллы,2014-03-28 10:58:42 UTC,
10001744045,,,Телефонный центр,4,921780,10000011206,,2014-04-03 00:00:00 UTC,11,"Вежливость и компетентность сотрудника, взаимодействующего с заявителем при предоставлении государственной услуги",4,баллы,2014-03-28 10:58:43 UTC,
10001744045,,,Телефонный центр,4,921781,10000011206,,2014-04-03 00:00:00 UTC,12,"Комфортность условий в помещении, в котором предоставлена государственная услуга",1,баллы,2014-03-28 10:58:43 UTC,
10001744045,,,Телефонный центр,4,921782,10000011206,,2014-04-03 00:00:00 UTC,13,Доступность информации о порядке предоставления государственной услуги,4,баллы,2014-03-28 10:58:43 UTC,
10001737077,,,Телефонный центр,4,924574,10000011206,,2014-04-01 00:00:00 UTC,9,Время предоставления государственной услуги,3,баллы,2014-03-30 15:53:16 UTC,
