ID ведомства из ФРГУ,Название ведомства,Код ОКАТО региона предоставления,Источник получения данных с оценками,Идентификатор источника получения данных,Идентификатор в ИАС МКГУ,ID услуги из ФРГУ,Название услуги,Дата получения услуги,Идентификатор оцениваемого критерия (показателя),Наименование оцениваемого критерия (показателя),Значение показателя,Единицы измерения оценки (показателя),Дата и время получения оценки,"Мнение получателя услуги, выраженное в текстовом комментарии"
10001737841,,,Телефонный центр,4,606734,10000011206,,2013-12-02 00:00:00 UTC,9,Время предоставления государственной услуги,1,баллы,2013-11-27 12:07:25 UTC,
10001737841,,,Телефонный центр,4,606735,10000011206,,2013-12-02 00:00:00 UTC,10,Время ожидания в очереди при получении государственной услуги,4,баллы,2013-11-27 12:07:25 UTC,
10001737841,,,Телефонный центр,4,606736,10000011206,,2013-12-02 00:00:00 UTC,11,"Вежливость и компетентность сотрудника, взаимодействующего с заявителем при предоставлении государственной услуги",1,баллы,2013-11-27 12:07:25 UTC,
10001737841,,,Телефонный центр,4,606737,10000011206,,2013-12-02 00:00:00 UTC,12,"Комфортность условий в помещении, в котором предоставлена государственная услуга",1,баллы,2013-11-27 12:07:25 UTC,
10001737841,,,Телефонный центр,4,606738,10000011206,,2013-12-02 00:00:00 UTC,13,Доступность информации о порядке предоставления государственной услуги,1,баллы,2013-11-27 12:07:26 UTC,
10000001022,Федеральная миграционная служба,,Виджеты,3,609887,10000020393,Регистрационный учет граждан Российской Федерации по месту пребывания и по месту жительства в пределах Российской Федерации,2013-12-01 00:00:00 UTC,36,Доступность информации о порядке предоставления государственной услуги,5,баллы,2013-12-02 00:31:32 UTC,Прописки граждан РФ не существует.
10000001022,Федеральная миграционная служба,,Виджеты,3,609888,10000020393,Регистрационный учет граждан Российской Федерации по месту пребывания и по месту жительства в пределах Российской Федерации,2013-12-01 00:00:00 UTC,37,"Время ожидания ответа на подачу заявления, время предоставления государственной услуги",5,баллы,2013-12-02 00:31:32 UTC,Прописки граждан РФ не существует.
10000001022,Федеральная миграционная служба,,Виджеты,3,609889,10000020393,Регистрационный учет граждан Российской Федерации по месту пребывания и по месту жительства в пределах Российской Федерации,2013-12-01 00:00:00 UTC,38,"Удобство процедур предоставления государственной услуги, включая процедуры и доступность информации при подаче заявления, записи на прием, подачи заявления, оплаты обязательных платежей, информирования заявителя о ходе предоставления госуслуги",5,баллы,2013-12-02 00:31:33 UTC,Прописки граждан РФ не существует.
10000001197,Министерство внутренних дел Российской Федерации,45000000000,Вашконтроль.ру,2,610187,10000004558,Государственная услуга по регистрации автомототранспортных средств и прицепов к ним в Государственной инспекции безопасности дорожного движения Министерства внутренних дел Российской Федерации ,2013-12-02 00:00:00 UTC,36,Доступность информации о порядке предоставления государственной услуги,5,баллы,2013-12-02 10:37:10 UTC,качеством услуги удовлетворен
10000001197,Министерство внутренних дел Российской Федерации,45000000000,Вашконтроль.ру,2,610188,10000004558,Государственная услуга по регистрации автомототранспортных средств и прицепов к ним в Государственной инспекции безопасности дорожного движения Министерства внутренних дел Российской Федерации ,2013-12-02 00:00:00 UTC,37,"Время ожидания ответа на подачу заявления, время предоставления государственной услуги",5,баллы,2013-12-02 10:37:11 UTC,качеством услуги удовлетворен
