ID ведомства из ФРГУ,Название ведомства,Код ОКАТО региона предоставления,Источник получения данных с оценками,Идентификатор источника получения данных,Идентификатор в ИАС МКГУ,ID услуги из ФРГУ,Название услуги,Дата получения услуги,Идентификатор оцениваемого критерия (показателя),Наименование оцениваемого критерия (показателя),Значение показателя,Единицы измерения оценки (показателя),Дата и время получения оценки,"Мнение получателя услуги, выраженное в текстовом комментарии"
16451,,,Телефонный центр,4,799790,10000011206,,2014-03-04 00:00:00 UTC,9,Время предоставления государственной услуги,4,баллы,2014-02-26 14:17:02 UTC,
16451,,,Телефонный центр,4,799791,10000011206,,2014-03-04 00:00:00 UTC,10,Время ожидания в очереди при получении государственной услуги,4,баллы,2014-02-26 14:17:02 UTC,
16451,,,Телефонный центр,4,799792,10000011206,,2014-03-04 00:00:00 UTC,11,"Вежливость и компетентность сотрудника, взаимодействующего с заявителем при предоставлении государственной услуги",4,баллы,2014-02-26 14:17:03 UTC,
16451,,,Телефонный центр,4,799793,10000011206,,2014-03-04 00:00:00 UTC,12,"Комфортность условий в помещении, в котором предоставлена государственная услуга",5,баллы,2014-02-26 14:17:03 UTC,
16451,,,Телефонный центр,4,799794,10000011206,,2014-03-04 00:00:00 UTC,13,Доступность информации о порядке предоставления государственной услуги,3,баллы,2014-02-26 14:17:03 UTC,
10001737681,,,Телефонный центр,4,800766,10000012269,,2014-03-01 00:00:00 UTC,9,Время предоставления государственной услуги,3,баллы,2014-02-26 14:43:48 UTC,
10001737681,,,Телефонный центр,4,800767,10000012269,,2014-03-01 00:00:00 UTC,10,Время ожидания в очереди при получении государственной услуги,3,баллы,2014-02-26 14:43:49 UTC,
10001737681,,,Телефонный центр,4,800768,10000012269,,2014-03-01 00:00:00 UTC,11,"Вежливость и компетентность сотрудника, взаимодействующего с заявителем при предоставлении государственной услуги",2,баллы,2014-02-26 14:43:49 UTC,
10001737681,,,Телефонный центр,4,800769,10000012269,,2014-03-01 00:00:00 UTC,12,"Комфортность условий в помещении, в котором предоставлена государственная услуга",2,баллы,2014-02-26 14:43:49 UTC,
10001737681,,,Телефонный центр,4,800770,10000012269,,2014-03-01 00:00:00 UTC,13,Доступность информации о порядке предоставления государственной услуги,3,баллы,2014-02-26 14:43:49 UTC,
10001744257,,,Телефонный центр,4,800886,10000012269,,2014-03-01 00:00:00 UTC,9,Время предоставления государственной услуги,3,баллы,2014-02-26 14:44:12 UTC,
10001744257,,,Телефонный центр,4,800887,10000012269,,2014-03-01 00:00:00 UTC,10,Время ожидания в очереди при получении государственной услуги,3,баллы,2014-02-26 14:44:12 UTC,
10001744257,,,Телефонный центр,4,800888,10000012269,,2014-03-01 00:00:00 UTC,11,"Вежливость и компетентность сотрудника, взаимодействующего с заявителем при предоставлении государственной услуги",2,баллы,2014-02-26 14:44:13 UTC,
10001744257,,,Телефонный центр,4,800889,10000012269,,2014-03-01 00:00:00 UTC,12,"Комфортность условий в помещении, в котором предоставлена государственная услуга",2,баллы,2014-02-26 14:44:13 UTC,
10001744257,,,Телефонный центр,4,800890,10000012269,,2014-03-01 00:00:00 UTC,13,Доступность информации о порядке предоставления государственной услуги,3,баллы,2014-02-26 14:44:13 UTC,
10001746561,,,Телефонный центр,4,801478,10000011206,,2014-03-02 00:00:00 UTC,9,Время предоставления государственной услуги,1,баллы,2014-02-26 15:15:25 UTC,
10001746561,,,Телефонный центр,4,801479,10000011206,,2014-03-02 00:00:00 UTC,10,Время ожидания в очереди при получении государственной услуги,4,баллы,2014-02-26 15:15:25 UTC,
10001746561,,,Телефонный центр,4,801480,10000011206,,2014-03-02 00:00:00 UTC,11,"Вежливость и компетентность сотрудника, взаимодействующего с заявителем при предоставлении государственной услуги",2,баллы,2014-02-26 15:15:25 UTC,
10001746561,,,Телефонный центр,4,801481,10000011206,,2014-03-02 00:00:00 UTC,12,"Комфортность условий в помещении, в котором предоставлена государственная услуга",3,баллы,2014-02-26 15:15:26 UTC,
10001746561,,,Телефонный центр,4,801482,10000011206,,2014-03-02 00:00:00 UTC,13,Доступность информации о порядке предоставления государственной услуги,5,баллы,2014-02-26 15:15:26 UTC,
10001745837,,,Телефонный центр,4,807275,10000012269,,2014-03-01 00:00:00 UTC,9,Время предоставления государственной услуги,4,баллы,2014-02-27 08:28:53 UTC,
10001745837,,,Телефонный центр,4,807276,10000012269,,2014-03-01 00:00:00 UTC,10,Время ожидания в очереди при получении государственной услуги,5,баллы,2014-02-27 08:28:53 UTC,
10001745837,,,Телефонный центр,4,807277,10000012269,,2014-03-01 00:00:00 UTC,11,"Вежливость и компетентность сотрудника, взаимодействующего с заявителем при предоставлении государственной услуги",4,баллы,2014-02-27 08:28:53 UTC,
10001745837,,,Телефонный центр,4,807278,10000012269,,2014-03-01 00:00:00 UTC,12,"Комфортность условий в помещении, в котором предоставлена государственная услуга",5,баллы,2014-02-27 08:28:53 UTC,
10001745837,,,Телефонный центр,4,807279,10000012269,,2014-03-01 00:00:00 UTC,13,Доступность информации о порядке предоставления государственной услуги,4,баллы,2014-02-27 08:28:53 UTC,
10001753895,,,Телефонный центр,4,807384,10000011206,,2014-03-01 00:00:00 UTC,9,Время предоставления государственной услуги,2,баллы,2014-02-27 08:29:09 UTC,
10001753895,,,Телефонный центр,4,807385,10000011206,,2014-03-01 00:00:00 UTC,10,Время ожидания в очереди при получении государственной услуги,3,баллы,2014-02-27 08:29:09 UTC,
10001753895,,,Телефонный центр,4,807386,10000011206,,2014-03-01 00:00:00 UTC,11,"Вежливость и компетентность сотрудника, взаимодействующего с заявителем при предоставлении государственной услуги",3,баллы,2014-02-27 08:29:09 UTC,
10001753895,,,Телефонный центр,4,807387,10000011206,,2014-03-01 00:00:00 UTC,12,"Комфортность условий в помещении, в котором предоставлена государственная услуга",3,баллы,2014-02-27 08:29:09 UTC,
10001753895,,,Телефонный центр,4,807388,10000011206,,2014-03-01 00:00:00 UTC,13,Доступность информации о порядке предоставления государственной услуги,2,баллы,2014-02-27 08:29:09 UTC,
10001755236,,,Телефонный центр,4,807534,10000012269,,2014-03-01 00:00:00 UTC,9,Время предоставления государственной услуги,2,баллы,2014-02-27 08:29:32 UTC,
10001755236,,,Телефонный центр,4,807535,10000012269,,2014-03-01 00:00:00 UTC,10,Время ожидания в очереди при получении государственной услуги,5,баллы,2014-02-27 08:29:32 UTC,
10001755236,,,Телефонный центр,4,807536,10000012269,,2014-03-01 00:00:00 UTC,11,"Вежливость и компетентность сотрудника, взаимодействующего с заявителем при предоставлении государственной услуги",5,баллы,2014-02-27 08:29:32 UTC,
10001755236,,,Телефонный центр,4,807537,10000012269,,2014-03-01 00:00:00 UTC,12,"Комфортность условий в помещении, в котором предоставлена государственная услуга",4,баллы,2014-02-27 08:29:32 UTC,
10001755236,,,Телефонный центр,4,807538,10000012269,,2014-03-01 00:00:00 UTC,13,Доступность информации о порядке предоставления государственной услуги,4,баллы,2014-02-27 08:29:32 UTC,
10001748680,,,Телефонный центр,4,808083,10000011206,,2014-03-01 00:00:00 UTC,9,Время предоставления государственной услуги,3,баллы,2014-02-27 08:31:24 UTC,
10001748680,,,Телефонный центр,4,808084,10000011206,,2014-03-01 00:00:00 UTC,10,Время ожидания в очереди при получении государственной услуги,4,баллы,2014-02-27 08:31:24 UTC,
10001748680,,,Телефонный центр,4,808085,10000011206,,2014-03-01 00:00:00 UTC,11,"Вежливость и компетентность сотрудника, взаимодействующего с заявителем при предоставлении государственной услуги",2,баллы,2014-02-27 08:31:25 UTC,
10001748680,,,Телефонный центр,4,808086,10000011206,,2014-03-01 00:00:00 UTC,12,"Комфортность условий в помещении, в котором предоставлена государственная услуга",4,баллы,2014-02-27 08:31:25 UTC,
10001748680,,,Телефонный центр,4,808087,10000011206,,2014-03-01 00:00:00 UTC,13,Доступность информации о порядке предоставления государственной услуги,4,баллы,2014-02-27 08:31:25 UTC,
10001751547,,,Телефонный центр,4,808306,10000012269,,2014-03-05 00:00:00 UTC,9,Время предоставления государственной услуги,5,баллы,2014-02-27 08:32:11 UTC,
10001751547,,,Телефонный центр,4,808307,10000012269,,2014-03-05 00:00:00 UTC,10,Время ожидания в очереди при получении государственной услуги,5,баллы,2014-02-27 08:32:12 UTC,
10001751547,,,Телефонный центр,4,808308,10000012269,,2014-03-05 00:00:00 UTC,11,"Вежливость и компетентность сотрудника, взаимодействующего с заявителем при предоставлении государственной услуги",5,баллы,2014-02-27 08:32:12 UTC,
10001751547,,,Телефонный центр,4,808309,10000012269,,2014-03-05 00:00:00 UTC,12,"Комфортность условий в помещении, в котором предоставлена государственная услуга",5,баллы,2014-02-27 08:32:12 UTC,
10001751547,,,Телефонный центр,4,808310,10000012269,,2014-03-05 00:00:00 UTC,13,Доступность информации о порядке предоставления государственной услуги,5,баллы,2014-02-27 08:32:12 UTC,
10001737841,,,Телефонный центр,4,808713,10000011206,,2014-03-01 00:00:00 UTC,9,Время предоставления государственной услуги,2,баллы,2014-02-27 09:01:21 UTC,
10001737841,,,Телефонный центр,4,808714,10000011206,,2014-03-01 00:00:00 UTC,10,Время ожидания в очереди при получении государственной услуги,2,баллы,2014-02-27 09:01:21 UTC,
10001737841,,,Телефонный центр,4,808715,10000011206,,2014-03-01 00:00:00 UTC,11,"Вежливость и компетентность сотрудника, взаимодействующего с заявителем при предоставлении государственной услуги",5,баллы,2014-02-27 09:01:21 UTC,
10001737841,,,Телефонный центр,4,808716,10000011206,,2014-03-01 00:00:00 UTC,12,"Комфортность условий в помещении, в котором предоставлена государственная услуга",4,баллы,2014-02-27 09:01:21 UTC,
10001737841,,,Телефонный центр,4,808717,10000011206,,2014-03-01 00:00:00 UTC,13,Доступность информации о порядке предоставления государственной услуги,3,баллы,2014-02-27 09:01:21 UTC,
10001737805,,,Телефонный центр,4,809805,10000011206,,2014-03-01 00:00:00 UTC,9,Время предоставления государственной услуги,1,баллы,2014-02-27 09:04:44 UTC,
10001737805,,,Телефонный центр,4,809806,10000011206,,2014-03-01 00:00:00 UTC,10,Время ожидания в очереди при получении государственной услуги,1,баллы,2014-02-27 09:04:44 UTC,
10001737805,,,Телефонный центр,4,809807,10000011206,,2014-03-01 00:00:00 UTC,11,"Вежливость и компетентность сотрудника, взаимодействующего с заявителем при предоставлении государственной услуги",1,баллы,2014-02-27 09:04:44 UTC,
10001737805,,,Телефонный центр,4,809808,10000011206,,2014-03-01 00:00:00 UTC,12,"Комфортность условий в помещении, в котором предоставлена государственная услуга",5,баллы,2014-02-27 09:04:44 UTC,
10001737805,,,Телефонный центр,4,809809,10000011206,,2014-03-01 00:00:00 UTC,13,Доступность информации о порядке предоставления государственной услуги,3,баллы,2014-02-27 09:04:44 UTC,
10001748632,,,Телефонный центр,4,810310,10000011206,,2014-03-01 00:00:00 UTC,9,Время предоставления государственной услуги,1,баллы,2014-02-27 09:06:24 UTC,
10001748632,,,Телефонный центр,4,810311,10000011206,,2014-03-01 00:00:00 UTC,10,Время ожидания в очереди при получении государственной услуги,1,баллы,2014-02-27 09:06:24 UTC,
10001748632,,,Телефонный центр,4,810312,10000011206,,2014-03-01 00:00:00 UTC,11,"Вежливость и компетентность сотрудника, взаимодействующего с заявителем при предоставлении государственной услуги",1,баллы,2014-02-27 09:06:24 UTC,
10001748632,,,Телефонный центр,4,810313,10000011206,,2014-03-01 00:00:00 UTC,12,"Комфортность условий в помещении, в котором предоставлена государственная услуга",1,баллы,2014-02-27 09:06:24 UTC,
10001748632,,,Телефонный центр,4,810314,10000011206,,2014-03-01 00:00:00 UTC,13,Доступность информации о порядке предоставления государственной услуги,1,баллы,2014-02-27 09:06:25 UTC,
10001740262,,,Телефонный центр,4,810552,10000011206,,2014-03-04 00:00:00 UTC,9,Время предоставления государственной услуги,2,баллы,2014-02-27 09:07:15 UTC,
10001740262,,,Телефонный центр,4,810553,10000011206,,2014-03-04 00:00:00 UTC,10,Время ожидания в очереди при получении государственной услуги,1,баллы,2014-02-27 09:07:15 UTC,
10001740262,,,Телефонный центр,4,810554,10000011206,,2014-03-04 00:00:00 UTC,11,"Вежливость и компетентность сотрудника, взаимодействующего с заявителем при предоставлении государственной услуги",3,баллы,2014-02-27 09:07:15 UTC,
10001740262,,,Телефонный центр,4,810555,10000011206,,2014-03-04 00:00:00 UTC,12,"Комфортность условий в помещении, в котором предоставлена государственная услуга",4,баллы,2014-02-27 09:07:15 UTC,
10001740262,,,Телефонный центр,4,810556,10000011206,,2014-03-04 00:00:00 UTC,13,Доступность информации о порядке предоставления государственной услуги,2,баллы,2014-02-27 09:07:16 UTC,
21798,,,Телефонный центр,4,811011,10000011206,,2014-03-01 00:00:00 UTC,9,Время предоставления государственной услуги,5,баллы,2014-02-27 09:17:17 UTC,
21798,,,Телефонный центр,4,811012,10000011206,,2014-03-01 00:00:00 UTC,10,Время ожидания в очереди при получении государственной услуги,5,баллы,2014-02-27 09:17:17 UTC,
21798,,,Телефонный центр,4,811013,10000011206,,2014-03-01 00:00:00 UTC,11,"Вежливость и компетентность сотрудника, взаимодействующего с заявителем при предоставлении государственной услуги",3,баллы,2014-02-27 09:17:17 UTC,
21798,,,Телефонный центр,4,811014,10000011206,,2014-03-01 00:00:00 UTC,12,"Комфортность условий в помещении, в котором предоставлена государственная услуга",1,баллы,2014-02-27 09:17:17 UTC,
21798,,,Телефонный центр,4,811015,10000011206,,2014-03-01 00:00:00 UTC,13,Доступность информации о порядке предоставления государственной услуги,3,баллы,2014-02-27 09:17:18 UTC,
10002393636,,,Телефонный центр,4,811754,10000011206,,2014-03-01 00:00:00 UTC,9,Время предоставления государственной услуги,1,баллы,2014-02-27 09:34:14 UTC,
10002393636,,,Телефонный центр,4,811755,10000011206,,2014-03-01 00:00:00 UTC,10,Время ожидания в очереди при получении государственной услуги,1,баллы,2014-02-27 09:34:14 UTC,
10002393636,,,Телефонный центр,4,811756,10000011206,,2014-03-01 00:00:00 UTC,11,"Вежливость и компетентность сотрудника, взаимодействующего с заявителем при предоставлении государственной услуги",1,баллы,2014-02-27 09:34:15 UTC,
10002393636,,,Телефонный центр,4,811757,10000011206,,2014-03-01 00:00:00 UTC,12,"Комфортность условий в помещении, в котором предоставлена государственная услуга",2,баллы,2014-02-27 09:34:15 UTC,
10002393636,,,Телефонный центр,4,811758,10000011206,,2014-03-01 00:00:00 UTC,13,Доступность информации о порядке предоставления государственной услуги,4,баллы,2014-02-27 09:34:15 UTC,
10001741416,,,Телефонный центр,4,812912,10000011206,,2014-03-01 00:00:00 UTC,9,Время предоставления государственной услуги,1,баллы,2014-02-27 11:37:33 UTC,
10001741416,,,Телефонный центр,4,812913,10000011206,,2014-03-01 00:00:00 UTC,10,Время ожидания в очереди при получении государственной услуги,4,баллы,2014-02-27 11:37:33 UTC,
10001741416,,,Телефонный центр,4,812914,10000011206,,2014-03-01 00:00:00 UTC,11,"Вежливость и компетентность сотрудника, взаимодействующего с заявителем при предоставлении государственной услуги",1,баллы,2014-02-27 11:37:33 UTC,
10001741416,,,Телефонный центр,4,812915,10000011206,,2014-03-01 00:00:00 UTC,12,"Комфортность условий в помещении, в котором предоставлена государственная услуга",4,баллы,2014-02-27 11:37:33 UTC,
10001741416,,,Телефонный центр,4,812916,10000011206,,2014-03-01 00:00:00 UTC,13,Доступность информации о порядке предоставления государственной услуги,1,баллы,2014-02-27 11:37:33 UTC,
10001737849,,,Телефонный центр,4,814932,10000012269,,2014-03-02 00:00:00 UTC,9,Время предоставления государственной услуги,3,баллы,2014-02-28 05:09:26 UTC,
10001737849,,,Телефонный центр,4,814933,10000012269,,2014-03-02 00:00:00 UTC,10,Время ожидания в очереди при получении государственной услуги,4,баллы,2014-02-28 05:09:26 UTC,
10001737849,,,Телефонный центр,4,814934,10000012269,,2014-03-02 00:00:00 UTC,11,"Вежливость и компетентность сотрудника, взаимодействующего с заявителем при предоставлении государственной услуги",4,баллы,2014-02-28 05:09:27 UTC,
10001737849,,,Телефонный центр,4,814935,10000012269,,2014-03-02 00:00:00 UTC,12,"Комфортность условий в помещении, в котором предоставлена государственная услуга",2,баллы,2014-02-28 05:09:27 UTC,
10001737849,,,Телефонный центр,4,814936,10000012269,,2014-03-02 00:00:00 UTC,13,Доступность информации о порядке предоставления государственной услуги,1,баллы,2014-02-28 05:09:27 UTC,
10001741488,,,Телефонный центр,4,814973,10000011206,,2014-03-02 00:00:00 UTC,9,Время предоставления государственной услуги,3,баллы,2014-02-28 05:40:31 UTC,
10001741488,,,Телефонный центр,4,814974,10000011206,,2014-03-02 00:00:00 UTC,10,Время ожидания в очереди при получении государственной услуги,2,баллы,2014-02-28 05:40:32 UTC,
10001741488,,,Телефонный центр,4,814975,10000011206,,2014-03-02 00:00:00 UTC,11,"Вежливость и компетентность сотрудника, взаимодействующего с заявителем при предоставлении государственной услуги",3,баллы,2014-02-28 05:40:32 UTC,
10001741488,,,Телефонный центр,4,814976,10000011206,,2014-03-02 00:00:00 UTC,12,"Комфортность условий в помещении, в котором предоставлена государственная услуга",4,баллы,2014-02-28 05:40:32 UTC,
