ID ведомства из ФРГУ,Название ведомства,Код ОКАТО региона предоставления,Источник получения данных с оценками,Идентификатор источника получения данных,Идентификатор в ИАС МКГУ,ID услуги из ФРГУ,Название услуги,Дата получения услуги,Идентификатор оцениваемого критерия (показателя),Наименование оцениваемого критерия (показателя),Значение показателя,Единицы измерения оценки (показателя),Дата и время получения оценки,"Мнение получателя услуги, выраженное в текстовом комментарии"
10001740897,,,Телефонный центр,4,474830,10000011206,,2013-11-04 00:00:00 UTC,9,Время предоставления государственной услуги,1,баллы,2013-10-31 10:33:48 UTC,
10001740897,,,Телефонный центр,4,474831,10000011206,,2013-11-04 00:00:00 UTC,10,Время ожидания в очереди при получении государственной услуги,1,баллы,2013-10-31 10:33:48 UTC,
10001740897,,,Телефонный центр,4,474832,10000011206,,2013-11-04 00:00:00 UTC,11,"Вежливость и компетентность сотрудника, взаимодействующего с заявителем при предоставлении государственной услуги",1,баллы,2013-10-31 10:33:48 UTC,
10001740897,,,Телефонный центр,4,474833,10000011206,,2013-11-04 00:00:00 UTC,12,"Комфортность условий в помещении, в котором предоставлена государственная услуга",1,баллы,2013-10-31 10:33:48 UTC,
10001740897,,,Телефонный центр,4,474834,10000011206,,2013-11-04 00:00:00 UTC,13,Доступность информации о порядке предоставления государственной услуги,1,баллы,2013-10-31 10:33:48 UTC,
10001744149,,,Телефонный центр,4,474837,10000011206,,2013-11-04 00:00:00 UTC,10,Время ожидания в очереди при получении государственной услуги,3,баллы,2013-10-31 10:33:49 UTC,
10001744149,,,Телефонный центр,4,474838,10000011206,,2013-11-04 00:00:00 UTC,11,"Вежливость и компетентность сотрудника, взаимодействующего с заявителем при предоставлении государственной услуги",4,баллы,2013-10-31 10:33:49 UTC,
10001744149,,,Телефонный центр,4,474839,10000011206,,2013-11-04 00:00:00 UTC,12,"Комфортность условий в помещении, в котором предоставлена государственная услуга",3,баллы,2013-10-31 10:33:49 UTC,
10001744149,,,Телефонный центр,4,474840,10000011206,,2013-11-04 00:00:00 UTC,13,Доступность информации о порядке предоставления государственной услуги,2,баллы,2013-10-31 10:33:49 UTC,
7199,,,Телефонный центр,4,475102,10000011206,,2013-11-04 00:00:00 UTC,9,Время предоставления государственной услуги,3,баллы,2013-10-31 10:34:36 UTC,
7199,,,Телефонный центр,4,475103,10000011206,,2013-11-04 00:00:00 UTC,10,Время ожидания в очереди при получении государственной услуги,3,баллы,2013-10-31 10:34:36 UTC,
7199,,,Телефонный центр,4,475104,10000011206,,2013-11-04 00:00:00 UTC,11,"Вежливость и компетентность сотрудника, взаимодействующего с заявителем при предоставлении государственной услуги",4,баллы,2013-10-31 10:34:36 UTC,
7199,,,Телефонный центр,4,475105,10000011206,,2013-11-04 00:00:00 UTC,12,"Комфортность условий в помещении, в котором предоставлена государственная услуга",4,баллы,2013-10-31 10:34:36 UTC,
7199,,,Телефонный центр,4,475106,10000011206,,2013-11-04 00:00:00 UTC,13,Доступность информации о порядке предоставления государственной услуги,4,баллы,2013-10-31 10:34:36 UTC,
10001752534,,,Телефонный центр,4,479176,10000011206,,2013-11-04 00:00:00 UTC,9,Время предоставления государственной услуги,4,баллы,2013-10-31 10:50:02 UTC,
10001752534,,,Телефонный центр,4,479178,10000011206,,2013-11-04 00:00:00 UTC,10,Время ожидания в очереди при получении государственной услуги,5,баллы,2013-10-31 10:50:02 UTC,
10001752534,,,Телефонный центр,4,479180,10000011206,,2013-11-04 00:00:00 UTC,11,"Вежливость и компетентность сотрудника, взаимодействующего с заявителем при предоставлении государственной услуги",4,баллы,2013-10-31 10:50:02 UTC,
10001752534,,,Телефонный центр,4,479181,10000011206,,2013-11-04 00:00:00 UTC,12,"Комфортность условий в помещении, в котором предоставлена государственная услуга",3,баллы,2013-10-31 10:50:02 UTC,
