ID ведомства из ФРГУ,Название ведомства,Код ОКАТО региона предоставления,Источник получения данных с оценками,Идентификатор источника получения данных,Идентификатор в ИАС МКГУ,ID услуги из ФРГУ,Название услуги,Дата получения услуги,Идентификатор оцениваемого критерия (показателя),Наименование оцениваемого критерия (показателя),Значение показателя,Единицы измерения оценки (показателя),Дата и время получения оценки,"Мнение получателя услуги, выраженное в текстовом комментарии"
10001740030,,,Колл-центр,4,298483,10000011206,,2013-10-09 00:00:00 UTC,9,Время предоставления государственной услуги,4,баллы,2013-07-18 00:21:18 UTC,
10001740030,,,Колл-центр,4,298484,10000011206,,2013-10-09 00:00:00 UTC,10,Время ожидания в очереди при получении государственной услуги,4,баллы,2013-07-18 00:21:18 UTC,
10001740030,,,Колл-центр,4,298485,10000011206,,2013-10-09 00:00:00 UTC,11,"Вежливость и компетентность сотрудника, взаимодействующего с заявителем при предоставлении государственной услуги",4,баллы,2013-07-18 00:21:18 UTC,
10001740030,,,Колл-центр,4,298486,10000011206,,2013-10-09 00:00:00 UTC,12,"Комфортность условий в помещении, в котором предоставлена государственная услуга",4,баллы,2013-07-18 00:21:18 UTC,
10001740030,,,Колл-центр,4,298487,10000011206,,2013-10-09 00:00:00 UTC,13,Доступность информации о порядке предоставления государственной услуги,4,баллы,2013-07-18 00:21:18 UTC,
10001752024,,,Колл-центр,4,298507,10000011206,,2013-10-09 00:00:00 UTC,9,Время предоставления государственной услуги,4,баллы,2013-07-18 00:21:21 UTC,
10001752024,,,Колл-центр,4,298508,10000011206,,2013-10-09 00:00:00 UTC,10,Время ожидания в очереди при получении государственной услуги,4,баллы,2013-07-18 00:21:22 UTC,
10001752024,,,Колл-центр,4,298509,10000011206,,2013-10-09 00:00:00 UTC,11,"Вежливость и компетентность сотрудника, взаимодействующего с заявителем при предоставлении государственной услуги",5,баллы,2013-07-18 00:21:22 UTC,
10001752024,,,Колл-центр,4,298510,10000011206,,2013-10-09 00:00:00 UTC,12,"Комфортность условий в помещении, в котором предоставлена государственная услуга",4,баллы,2013-07-18 00:21:22 UTC,
10001752024,,,Колл-центр,4,298511,10000011206,,2013-10-09 00:00:00 UTC,13,Доступность информации о порядке предоставления государственной услуги,5,баллы,2013-07-18 00:21:22 UTC,
10001756238,,,Колл-центр,4,298852,10000011206,,2013-10-09 00:00:00 UTC,9,Время предоставления государственной услуги,1,баллы,2013-07-18 04:02:58 UTC,
10001756238,,,Колл-центр,4,298853,10000011206,,2013-10-09 00:00:00 UTC,10,Время ожидания в очереди при получении государственной услуги,1,баллы,2013-07-18 04:02:58 UTC,
10001756238,,,Колл-центр,4,298854,10000011206,,2013-10-09 00:00:00 UTC,11,"Вежливость и компетентность сотрудника, взаимодействующего с заявителем при предоставлении государственной услуги",5,баллы,2013-07-18 04:02:58 UTC,
10001756238,,,Колл-центр,4,298855,10000011206,,2013-10-09 00:00:00 UTC,12,"Комфортность условий в помещении, в котором предоставлена государственная услуга",4,баллы,2013-07-18 04:02:58 UTC,
10001756238,,,Колл-центр,4,298856,10000011206,,2013-10-09 00:00:00 UTC,13,Доступность информации о порядке предоставления государственной услуги,5,баллы,2013-07-18 04:02:59 UTC,
10001744077,,,Колл-центр,4,299594,10000012269,,2013-10-09 00:00:00 UTC,9,Время предоставления государственной услуги,5,баллы,2013-07-18 07:44:10 UTC,
10001744077,,,Колл-центр,4,299595,10000012269,,2013-10-09 00:00:00 UTC,10,Время ожидания в очереди при получении государственной услуги,5,баллы,2013-07-18 07:44:11 UTC,
10001744077,,,Колл-центр,4,299596,10000012269,,2013-10-09 00:00:00 UTC,11,"Вежливость и компетентность сотрудника, взаимодействующего с заявителем при предоставлении государственной услуги",5,баллы,2013-07-18 07:44:11 UTC,
10001744077,,,Колл-центр,4,299597,10000012269,,2013-10-09 00:00:00 UTC,12,"Комфортность условий в помещении, в котором предоставлена государственная услуга",5,баллы,2013-07-18 07:44:11 UTC,
10001744077,,,Колл-центр,4,299598,10000012269,,2013-10-09 00:00:00 UTC,13,Доступность информации о порядке предоставления государственной услуги,5,баллы,2013-07-18 07:44:11 UTC,
10001736835,,,Колл-центр,4,299934,10000011206,,2013-10-09 00:00:00 UTC,9,Время предоставления государственной услуги,1,баллы,2013-07-18 10:53:33 UTC,
10001736835,,,Колл-центр,4,299935,10000011206,,2013-10-09 00:00:00 UTC,10,Время ожидания в очереди при получении государственной услуги,1,баллы,2013-07-18 10:53:33 UTC,
10001736835,,,Колл-центр,4,299936,10000011206,,2013-10-09 00:00:00 UTC,11,"Вежливость и компетентность сотрудника, взаимодействующего с заявителем при предоставлении государственной услуги",3,баллы,2013-07-18 10:53:33 UTC,
10001736835,,,Колл-центр,4,299937,10000011206,,2013-10-09 00:00:00 UTC,12,"Комфортность условий в помещении, в котором предоставлена государственная услуга",4,баллы,2013-07-18 10:53:33 UTC,
10001736835,,,Колл-центр,4,299938,10000011206,,2013-10-09 00:00:00 UTC,13,Доступность информации о порядке предоставления государственной услуги,4,баллы,2013-07-18 10:53:33 UTC,
10001739124,,,Колл-центр,4,299952,10000011206,,2013-10-09 00:00:00 UTC,9,Время предоставления государственной услуги,4,баллы,2013-07-18 11:25:13 UTC,
10001739124,,,Колл-центр,4,299953,10000011206,,2013-10-09 00:00:00 UTC,10,Время ожидания в очереди при получении государственной услуги,5,баллы,2013-07-18 11:25:13 UTC,
10001739124,,,Колл-центр,4,299954,10000011206,,2013-10-09 00:00:00 UTC,11,"Вежливость и компетентность сотрудника, взаимодействующего с заявителем при предоставлении государственной услуги",3,баллы,2013-07-18 11:25:13 UTC,
10001739124,,,Колл-центр,4,299955,10000011206,,2013-10-09 00:00:00 UTC,12,"Комфортность условий в помещении, в котором предоставлена государственная услуга",4,баллы,2013-07-18 11:25:14 UTC,
10001739124,,,Колл-центр,4,299956,10000011206,,2013-10-09 00:00:00 UTC,13,Доступность информации о порядке предоставления государственной услуги,4,баллы,2013-07-18 11:25:14 UTC,
10001755172,,,Колл-центр,4,300282,10000011206,,2013-10-09 00:00:00 UTC,9,Время предоставления государственной услуги,4,баллы,2013-07-18 17:13:52 UTC,
10001755172,,,Колл-центр,4,300283,10000011206,,2013-10-09 00:00:00 UTC,10,Время ожидания в очереди при получении государственной услуги,4,баллы,2013-07-18 17:13:52 UTC,
10001755172,,,Колл-центр,4,300284,10000011206,,2013-10-09 00:00:00 UTC,11,"Вежливость и компетентность сотрудника, взаимодействующего с заявителем при предоставлении государственной услуги",4,баллы,2013-07-18 17:13:52 UTC,
10001755172,,,Колл-центр,4,300285,10000011206,,2013-10-09 00:00:00 UTC,12,"Комфортность условий в помещении, в котором предоставлена государственная услуга",4,баллы,2013-07-18 17:13:52 UTC,
10001755172,,,Колл-центр,4,300286,10000011206,,2013-10-09 00:00:00 UTC,13,Доступность информации о порядке предоставления государственной услуги,4,баллы,2013-07-18 17:13:53 UTC,
15148,,,Колл-центр,4,300961,10000012269,,2013-10-19 00:00:00 UTC,9,Время предоставления государственной услуги,3,баллы,2013-07-23 10:27:09 UTC,
15148,,,Колл-центр,4,300963,10000012269,,2013-10-19 00:00:00 UTC,10,Время ожидания в очереди при получении государственной услуги,5,баллы,2013-07-23 10:27:09 UTC,
15148,,,Колл-центр,4,300964,10000012269,,2013-10-19 00:00:00 UTC,11,"Вежливость и компетентность сотрудника, взаимодействующего с заявителем при предоставлении государственной услуги",5,баллы,2013-07-23 10:27:10 UTC,
15148,,,Колл-центр,4,300966,10000012269,,2013-10-19 00:00:00 UTC,12,"Комфортность условий в помещении, в котором предоставлена государственная услуга",5,баллы,2013-07-23 10:27:10 UTC,
15148,,,Колл-центр,4,300967,10000012269,,2013-10-19 00:00:00 UTC,13,Доступность информации о порядке предоставления государственной услуги,5,баллы,2013-07-23 10:27:10 UTC,
10001752275,,,Колл-центр,4,301474,10000011206,,2013-10-09 00:00:00 UTC,9,Время предоставления государственной услуги,3,баллы,2013-07-23 10:28:11 UTC,
10001752275,,,Колл-центр,4,301476,10000011206,,2013-10-09 00:00:00 UTC,10,Время ожидания в очереди при получении государственной услуги,5,баллы,2013-07-23 10:28:12 UTC,
10001756550,,,Колл-центр,4,301477,10000011206,,2013-10-09 00:00:00 UTC,9,Время предоставления государственной услуги,1,баллы,2013-07-23 10:28:12 UTC,
10001752275,,,Колл-центр,4,301479,10000011206,,2013-10-09 00:00:00 UTC,11,"Вежливость и компетентность сотрудника, взаимодействующего с заявителем при предоставлении государственной услуги",5,баллы,2013-07-23 10:28:12 UTC,
10001756550,,,Колл-центр,4,301480,10000011206,,2013-10-09 00:00:00 UTC,10,Время ожидания в очереди при получении государственной услуги,1,баллы,2013-07-23 10:28:12 UTC,
10001752275,,,Колл-центр,4,301481,10000011206,,2013-10-09 00:00:00 UTC,12,"Комфортность условий в помещении, в котором предоставлена государственная услуга",5,баллы,2013-07-23 10:28:12 UTC,
10001752275,,,Колл-центр,4,301483,10000011206,,2013-10-09 00:00:00 UTC,13,Доступность информации о порядке предоставления государственной услуги,5,баллы,2013-07-23 10:28:12 UTC,
10001756550,,,Колл-центр,4,301484,10000011206,,2013-10-09 00:00:00 UTC,11,"Вежливость и компетентность сотрудника, взаимодействующего с заявителем при предоставлении государственной услуги",1,баллы,2013-07-23 10:28:12 UTC,
10001756550,,,Колл-центр,4,301486,10000011206,,2013-10-09 00:00:00 UTC,12,"Комфортность условий в помещении, в котором предоставлена государственная услуга",1,баллы,2013-07-23 10:28:12 UTC,
10001756550,,,Колл-центр,4,301488,10000011206,,2013-10-09 00:00:00 UTC,13,Доступность информации о порядке предоставления государственной услуги,1,баллы,2013-07-23 10:28:13 UTC,
10001744273,,,Колл-центр,4,301884,10000011206,,2013-10-09 00:00:00 UTC,9,Время предоставления государственной услуги,3,баллы,2013-07-23 10:28:45 UTC,
10001744273,,,Колл-центр,4,301887,10000011206,,2013-10-09 00:00:00 UTC,10,Время ожидания в очереди при получении государственной услуги,4,баллы,2013-07-23 10:28:45 UTC,
10001744273,,,Колл-центр,4,301890,10000011206,,2013-10-09 00:00:00 UTC,11,"Вежливость и компетентность сотрудника, взаимодействующего с заявителем при предоставлении государственной услуги",5,баллы,2013-07-23 10:28:46 UTC,
10001744273,,,Колл-центр,4,301893,10000011206,,2013-10-09 00:00:00 UTC,12,"Комфортность условий в помещении, в котором предоставлена государственная услуга",4,баллы,2013-07-23 10:28:46 UTC,
10001744273,,,Колл-центр,4,301894,10000011206,,2013-10-09 00:00:00 UTC,13,Доступность информации о порядке предоставления государственной услуги,2,баллы,2013-07-23 10:28:46 UTC,
10001753883,,,Колл-центр,4,302165,10000011206,,2013-10-09 00:00:00 UTC,9,Время предоставления государственной услуги,1,баллы,2013-07-23 10:29:15 UTC,
10001753883,,,Колл-центр,4,302167,10000011206,,2013-10-09 00:00:00 UTC,10,Время ожидания в очереди при получении государственной услуги,1,баллы,2013-07-23 10:29:15 UTC,
10001753883,,,Колл-центр,4,302169,10000011206,,2013-10-09 00:00:00 UTC,11,"Вежливость и компетентность сотрудника, взаимодействующего с заявителем при предоставлении государственной услуги",5,баллы,2013-07-23 10:29:15 UTC,
10001753883,,,Колл-центр,4,302172,10000011206,,2013-10-09 00:00:00 UTC,12,"Комфортность условий в помещении, в котором предоставлена государственная услуга",4,баллы,2013-07-23 10:29:15 UTC,
10001753883,,,Колл-центр,4,302174,10000011206,,2013-10-09 00:00:00 UTC,13,Доступность информации о порядке предоставления государственной услуги,4,баллы,2013-07-23 10:29:15 UTC,
10001744141,,,Колл-центр,4,302465,10000011206,,2013-10-09 00:00:00 UTC,9,Время предоставления государственной услуги,5,баллы,2013-07-23 10:29:42 UTC,
10001744141,,,Колл-центр,4,302468,10000011206,,2013-10-09 00:00:00 UTC,10,Время ожидания в очереди при получении государственной услуги,5,баллы,2013-07-23 10:29:42 UTC,
10001744141,,,Колл-центр,4,302471,10000011206,,2013-10-09 00:00:00 UTC,11,"Вежливость и компетентность сотрудника, взаимодействующего с заявителем при предоставлении государственной услуги",5,баллы,2013-07-23 10:29:42 UTC,
