ID ведомства из ФРГУ,Название ведомства,Код ОКАТО региона предоставления,Источник получения данных с оценками,Идентификатор источника получения данных,Идентификатор в ИАС МКГУ,ID услуги из ФРГУ,Название услуги,Дата получения услуги,Идентификатор оцениваемого критерия (показателя),Наименование оцениваемого критерия (показателя),Значение показателя,Единицы измерения оценки (показателя),Дата и время получения оценки,"Мнение получателя услуги, выраженное в текстовом комментарии"
10000001022,,,МФЦ,1,364656,10000000611,,2013-09-01 20:00:00 UTC,9,Время предоставления государственной услуги,5,баллы,2013-09-02 05:59:07 UTC,
10000001022,,,МФЦ,1,364657,10000000611,,2013-09-01 20:00:00 UTC,10,Время ожидания в очереди при получении государственной услуги,5,баллы,2013-09-02 05:59:08 UTC,
10000001022,,,МФЦ,1,364658,10000000611,,2013-09-01 20:00:00 UTC,11,"Вежливость и компетентность сотрудника, взаимодействующего с заявителем при предоставлении государственной услуги",5,баллы,2013-09-02 05:59:08 UTC,
10000001022,,,МФЦ,1,364659,10000000611,,2013-09-01 20:00:00 UTC,12,"Комфортность условий в помещении, в котором предоставлена государственная услуга",5,баллы,2013-09-02 05:59:08 UTC,
10000001022,,,МФЦ,1,364660,10000000611,,2013-09-01 20:00:00 UTC,13,Доступность информации о порядке предоставления государственной услуги,5,баллы,2013-09-02 05:59:08 UTC,
10000001022,,,МФЦ,1,364679,10000000611,,2013-09-01 20:00:00 UTC,9,Время предоставления государственной услуги,4,баллы,2013-09-02 06:44:11 UTC,
10000001022,,,МФЦ,1,364680,10000000611,,2013-09-01 20:00:00 UTC,10,Время ожидания в очереди при получении государственной услуги,5,баллы,2013-09-02 06:44:12 UTC,
10000001022,,,МФЦ,1,364681,10000000611,,2013-09-01 20:00:00 UTC,11,"Вежливость и компетентность сотрудника, взаимодействующего с заявителем при предоставлении государственной услуги",4,баллы,2013-09-02 06:44:12 UTC,
10000001022,,,МФЦ,1,364682,10000000611,,2013-09-01 20:00:00 UTC,12,"Комфортность условий в помещении, в котором предоставлена государственная услуга",4,баллы,2013-09-02 06:44:12 UTC,
10000001022,,,МФЦ,1,364683,10000000611,,2013-09-01 20:00:00 UTC,13,Доступность информации о порядке предоставления государственной услуги,4,баллы,2013-09-02 06:44:12 UTC,
10000001022,,,МФЦ,1,364684,10000000611,,2013-09-01 20:00:00 UTC,9,Время предоставления государственной услуги,4,баллы,2013-09-02 06:45:12 UTC,
10000001022,,,МФЦ,1,364685,10000000611,,2013-09-01 20:00:00 UTC,10,Время ожидания в очереди при получении государственной услуги,5,баллы,2013-09-02 06:45:12 UTC,
10000001022,,,МФЦ,1,364686,10000000611,,2013-09-01 20:00:00 UTC,11,"Вежливость и компетентность сотрудника, взаимодействующего с заявителем при предоставлении государственной услуги",4,баллы,2013-09-02 06:45:12 UTC,
10000001022,,,МФЦ,1,364687,10000000611,,2013-09-01 20:00:00 UTC,12,"Комфортность условий в помещении, в котором предоставлена государственная услуга",4,баллы,2013-09-02 06:45:13 UTC,
10000001022,,,МФЦ,1,364688,10000000611,,2013-09-01 20:00:00 UTC,13,Доступность информации о порядке предоставления государственной услуги,4,баллы,2013-09-02 06:45:13 UTC,
