ID ведомства из ФРГУ,Название ведомства,Код ОКАТО региона предоставления,Источник получения данных с оценками,Идентификатор источника получения данных,Идентификатор в ИАС МКГУ,ID услуги из ФРГУ,Название услуги,Дата получения услуги,Идентификатор оцениваемого критерия (показателя),Наименование оцениваемого критерия (показателя),Значение показателя,Единицы измерения оценки (показателя),Дата и время получения оценки,"Мнение получателя услуги, выраженное в текстовом комментарии"
10001756059,,,Телефонный центр,4,613779,10000011206,,2014-02-04 00:00:00 UTC,9,Время предоставления государственной услуги,1,баллы,2013-12-09 10:49:36 UTC,
10001756059,,,Телефонный центр,4,613780,10000011206,,2014-02-04 00:00:00 UTC,10,Время ожидания в очереди при получении государственной услуги,5,баллы,2013-12-09 10:49:36 UTC,
10001756059,,,Телефонный центр,4,613781,10000011206,,2014-02-04 00:00:00 UTC,11,"Вежливость и компетентность сотрудника, взаимодействующего с заявителем при предоставлении государственной услуги",4,баллы,2013-12-09 10:49:36 UTC,
10001756059,,,Телефонный центр,4,613782,10000011206,,2014-02-04 00:00:00 UTC,12,"Комфортность условий в помещении, в котором предоставлена государственная услуга",4,баллы,2013-12-09 10:49:36 UTC,
10001756059,,,Телефонный центр,4,613783,10000011206,,2014-02-04 00:00:00 UTC,13,Доступность информации о порядке предоставления государственной услуги,3,баллы,2013-12-09 10:49:36 UTC,
10001753859,,,Телефонный центр,4,706715,10000011206,,2014-02-10 00:00:00 UTC,9,Время предоставления государственной услуги,4,баллы,2014-01-20 08:40:17 UTC,
10001753859,,,Телефонный центр,4,706716,10000011206,,2014-02-10 00:00:00 UTC,10,Время ожидания в очереди при получении государственной услуги,4,баллы,2014-01-20 08:40:17 UTC,
10001753859,,,Телефонный центр,4,706717,10000011206,,2014-02-10 00:00:00 UTC,11,"Вежливость и компетентность сотрудника, взаимодействующего с заявителем при предоставлении государственной услуги",4,баллы,2014-01-20 08:40:17 UTC,
10001753859,,,Телефонный центр,4,706718,10000011206,,2014-02-10 00:00:00 UTC,12,"Комфортность условий в помещении, в котором предоставлена государственная услуга",5,баллы,2014-01-20 08:40:18 UTC,
10001753859,,,Телефонный центр,4,706719,10000011206,,2014-02-10 00:00:00 UTC,13,Доступность информации о порядке предоставления государственной услуги,3,баллы,2014-01-20 08:40:18 UTC,
10000001022,Федеральная миграционная служба,,Виджеты,3,729893,10000034854,"Оформление, выдача и замена свидетельства участника Государственной программы по оказанию содействия добровольному переселению в Российскую Федерацию соотечественников, проживающих за рубежом",2014-02-01 00:00:00 UTC,36,Доступность информации о порядке предоставления государственной услуги,4,баллы,2014-02-01 04:12:48 UTC,Я и моя семья участники программы добровольного переселения.  Так как нет соответствующего раздела – оставлю свой отзыв здесь. Переселились из Германии в Рубцовск  (Алтайский край). Оцениваю программу как очень полезную и нужную. На всех этапах кроме УФМС  Алтайский край доволен её ходом. Работу  УФМС  по Алтайскому краю оцениваю как неудовлетворительную. В течении трёх месяцев не могу получить положенные выплаты.  Заявленные в программе положения и обязательства государства не выполняются. Подробности тут http://groups.germany.ru/371910/f/25639253.html?Cat=&page=0&view=collapsed&sb=5
10000001022,Федеральная миграционная служба,,Виджеты,3,729894,10000034854,"Оформление, выдача и замена свидетельства участника Государственной программы по оказанию содействия добровольному переселению в Российскую Федерацию соотечественников, проживающих за рубежом",2014-02-01 00:00:00 UTC,37,"Время ожидания ответа на подачу заявления, время предоставления государственной услуги",4,баллы,2014-02-01 04:12:48 UTC,Я и моя семья участники программы добровольного переселения.  Так как нет соответствующего раздела – оставлю свой отзыв здесь. Переселились из Германии в Рубцовск  (Алтайский край). Оцениваю программу как очень полезную и нужную. На всех этапах кроме УФМС  Алтайский край доволен её ходом. Работу  УФМС  по Алтайскому краю оцениваю как неудовлетворительную. В течении трёх месяцев не могу получить положенные выплаты.  Заявленные в программе положения и обязательства государства не выполняются. Подробности тут http://groups.germany.ru/371910/f/25639253.html?Cat=&page=0&view=collapsed&sb=5
10000001022,Федеральная миграционная служба,,Виджеты,3,729895,10000034854,"Оформление, выдача и замена свидетельства участника Государственной программы по оказанию содействия добровольному переселению в Российскую Федерацию соотечественников, проживающих за рубежом",2014-02-01 00:00:00 UTC,38,"Удобство процедур предоставления государственной услуги, включая процедуры и доступность информации при подаче заявления, записи на прием, подачи заявления, оплаты обязательных платежей, информирования заявителя о ходе предоставления госуслуги",3,баллы,2014-02-01 04:12:48 UTC,Я и моя семья участники программы добровольного переселения.  Так как нет соответствующего раздела – оставлю свой отзыв здесь. Переселились из Германии в Рубцовск  (Алтайский край). Оцениваю программу как очень полезную и нужную. На всех этапах кроме УФМС  Алтайский край доволен её ходом. Работу  УФМС  по Алтайскому краю оцениваю как неудовлетворительную. В течении трёх месяцев не могу получить положенные выплаты.  Заявленные в программе положения и обязательства государства не выполняются. Подробности тут http://groups.germany.ru/371910/f/25639253.html?Cat=&page=0&view=collapsed&sb=5
