ID ведомства из ФРГУ,Название ведомства,Код ОКАТО региона предоставления,Источник получения данных с оценками,Идентификатор источника получения данных,Идентификатор в ИАС МКГУ,ID услуги из ФРГУ,Название услуги,Дата получения услуги,Идентификатор оцениваемого критерия (показателя),Наименование оцениваемого критерия (показателя),Значение показателя,Единицы измерения оценки (показателя),Дата и время получения оценки,"Мнение получателя услуги, выраженное в текстовом комментарии"
10001748895,,,Телефонный центр,4,612487,10000011206,,2014-01-10 00:00:00 UTC,9,Время предоставления государственной услуги,2,баллы,2013-12-05 06:14:59 UTC,
10001748895,,,Телефонный центр,4,612488,10000011206,,2014-01-10 00:00:00 UTC,10,Время ожидания в очереди при получении государственной услуги,2,баллы,2013-12-05 06:14:59 UTC,
10001748895,,,Телефонный центр,4,612489,10000011206,,2014-01-10 00:00:00 UTC,11,"Вежливость и компетентность сотрудника, взаимодействующего с заявителем при предоставлении государственной услуги",3,баллы,2013-12-05 06:14:59 UTC,
10001748895,,,Телефонный центр,4,612490,10000011206,,2014-01-10 00:00:00 UTC,12,"Комфортность условий в помещении, в котором предоставлена государственная услуга",3,баллы,2013-12-05 06:15:00 UTC,
10001748895,,,Телефонный центр,4,612491,10000011206,,2014-01-10 00:00:00 UTC,13,Доступность информации о порядке предоставления государственной услуги,3,баллы,2013-12-05 06:15:00 UTC,
10001749707,,,Телефонный центр,4,612492,10000011206,,2014-01-10 00:00:00 UTC,9,Время предоставления государственной услуги,3,баллы,2013-12-05 06:15:00 UTC,
10001749707,,,Телефонный центр,4,612493,10000011206,,2014-01-10 00:00:00 UTC,10,Время ожидания в очереди при получении государственной услуги,3,баллы,2013-12-05 06:15:00 UTC,
10001749707,,,Телефонный центр,4,612494,10000011206,,2014-01-10 00:00:00 UTC,11,"Вежливость и компетентность сотрудника, взаимодействующего с заявителем при предоставлении государственной услуги",4,баллы,2013-12-05 06:15:00 UTC,
10001749707,,,Телефонный центр,4,612495,10000011206,,2014-01-10 00:00:00 UTC,12,"Комфортность условий в помещении, в котором предоставлена государственная услуга",3,баллы,2013-12-05 06:15:00 UTC,
10001749707,,,Телефонный центр,4,612496,10000011206,,2014-01-10 00:00:00 UTC,13,Доступность информации о порядке предоставления государственной услуги,3,баллы,2013-12-05 06:15:01 UTC,
10001737021,,,Телефонный центр,4,612626,10000012269,,2014-01-13 00:00:00 UTC,9,Время предоставления государственной услуги,4,баллы,2013-12-05 10:59:57 UTC,
10001737021,,,Телефонный центр,4,612627,10000012269,,2014-01-13 00:00:00 UTC,10,Время ожидания в очереди при получении государственной услуги,4,баллы,2013-12-05 10:59:57 UTC,
10001737021,,,Телефонный центр,4,612628,10000012269,,2014-01-13 00:00:00 UTC,11,"Вежливость и компетентность сотрудника, взаимодействующего с заявителем при предоставлении государственной услуги",3,баллы,2013-12-05 10:59:57 UTC,
10001737021,,,Телефонный центр,4,612629,10000012269,,2014-01-13 00:00:00 UTC,12,"Комфортность условий в помещении, в котором предоставлена государственная услуга",5,баллы,2013-12-05 10:59:57 UTC,
10001737021,,,Телефонный центр,4,612630,10000012269,,2014-01-13 00:00:00 UTC,13,Доступность информации о порядке предоставления государственной услуги,1,баллы,2013-12-05 10:59:57 UTC,
26780,,,Телефонный центр,4,612631,10000011206,,2014-01-13 00:00:00 UTC,9,Время предоставления государственной услуги,1,баллы,2013-12-05 10:59:57 UTC,
26780,,,Телефонный центр,4,612632,10000011206,,2014-01-13 00:00:00 UTC,10,Время ожидания в очереди при получении государственной услуги,1,баллы,2013-12-05 10:59:58 UTC,
26780,,,Телефонный центр,4,612633,10000011206,,2014-01-13 00:00:00 UTC,11,"Вежливость и компетентность сотрудника, взаимодействующего с заявителем при предоставлении государственной услуги",1,баллы,2013-12-05 10:59:58 UTC,
26780,,,Телефонный центр,4,612634,10000011206,,2014-01-13 00:00:00 UTC,12,"Комфортность условий в помещении, в котором предоставлена государственная услуга",1,баллы,2013-12-05 10:59:58 UTC,
26780,,,Телефонный центр,4,612635,10000011206,,2014-01-13 00:00:00 UTC,13,Доступность информации о порядке предоставления государственной услуги,3,баллы,2013-12-05 10:59:58 UTC,
10001746617,,,Телефонный центр,4,612651,10000012269,,2014-01-15 00:00:00 UTC,9,Время предоставления государственной услуги,1,баллы,2013-12-05 11:00:01 UTC,
10001746617,,,Телефонный центр,4,612652,10000012269,,2014-01-15 00:00:00 UTC,10,Время ожидания в очереди при получении государственной услуги,1,баллы,2013-12-05 11:00:02 UTC,
10001746617,,,Телефонный центр,4,612653,10000012269,,2014-01-15 00:00:00 UTC,11,"Вежливость и компетентность сотрудника, взаимодействующего с заявителем при предоставлении государственной услуги",4,баллы,2013-12-05 11:00:02 UTC,
10001746617,,,Телефонный центр,4,612654,10000012269,,2014-01-15 00:00:00 UTC,12,"Комфортность условий в помещении, в котором предоставлена государственная услуга",2,баллы,2013-12-05 11:00:02 UTC,
10001746617,,,Телефонный центр,4,612655,10000012269,,2014-01-15 00:00:00 UTC,13,Доступность информации о порядке предоставления государственной услуги,4,баллы,2013-12-05 11:00:02 UTC,
10001741596,,,Телефонный центр,4,612666,10000011206,,2014-01-10 00:00:00 UTC,9,Время предоставления государственной услуги,3,баллы,2013-12-05 11:00:04 UTC,
10001741596,,,Телефонный центр,4,612667,10000011206,,2014-01-10 00:00:00 UTC,10,Время ожидания в очереди при получении государственной услуги,1,баллы,2013-12-05 11:00:04 UTC,
10001741596,,,Телефонный центр,4,612668,10000011206,,2014-01-10 00:00:00 UTC,11,"Вежливость и компетентность сотрудника, взаимодействующего с заявителем при предоставлении государственной услуги",3,баллы,2013-12-05 11:00:04 UTC,
10001741596,,,Телефонный центр,4,612669,10000011206,,2014-01-10 00:00:00 UTC,12,"Комфортность условий в помещении, в котором предоставлена государственная услуга",3,баллы,2013-12-05 11:00:05 UTC,
10001741596,,,Телефонный центр,4,612670,10000011206,,2014-01-10 00:00:00 UTC,13,Доступность информации о порядке предоставления государственной услуги,4,баллы,2013-12-05 11:00:05 UTC,
10001752546,,,Телефонный центр,4,612676,10000011206,,2014-01-10 00:00:00 UTC,9,Время предоставления государственной услуги,5,баллы,2013-12-05 11:00:06 UTC,
10001752546,,,Телефонный центр,4,612677,10000011206,,2014-01-10 00:00:00 UTC,10,Время ожидания в очереди при получении государственной услуги,5,баллы,2013-12-05 11:00:06 UTC,
10001752546,,,Телефонный центр,4,612678,10000011206,,2014-01-10 00:00:00 UTC,11,"Вежливость и компетентность сотрудника, взаимодействующего с заявителем при предоставлении государственной услуги",4,баллы,2013-12-05 11:00:06 UTC,
10001752546,,,Телефонный центр,4,612679,10000011206,,2014-01-10 00:00:00 UTC,12,"Комфортность условий в помещении, в котором предоставлена государственная услуга",4,баллы,2013-12-05 11:00:07 UTC,
10001752546,,,Телефонный центр,4,612680,10000011206,,2014-01-10 00:00:00 UTC,13,Доступность информации о порядке предоставления государственной услуги,5,баллы,2013-12-05 11:00:07 UTC,
10001737021,,,Телефонный центр,4,613468,10000012269,,2014-01-10 00:00:00 UTC,9,Время предоставления государственной услуги,3,баллы,2013-12-06 11:11:45 UTC,
10001737021,,,Телефонный центр,4,613469,10000012269,,2014-01-10 00:00:00 UTC,10,Время ожидания в очереди при получении государственной услуги,5,баллы,2013-12-06 11:11:45 UTC,
10001737021,,,Телефонный центр,4,613470,10000012269,,2014-01-10 00:00:00 UTC,11,"Вежливость и компетентность сотрудника, взаимодействующего с заявителем при предоставлении государственной услуги",3,баллы,2013-12-06 11:11:46 UTC,
10001737021,,,Телефонный центр,4,613471,10000012269,,2014-01-10 00:00:00 UTC,12,"Комфортность условий в помещении, в котором предоставлена государственная услуга",5,баллы,2013-12-06 11:11:46 UTC,
10001737021,,,Телефонный центр,4,613472,10000012269,,2014-01-10 00:00:00 UTC,13,Доступность информации о порядке предоставления государственной услуги,3,баллы,2013-12-06 11:11:46 UTC,
10001740018,,,Телефонный центр,4,613739,10000013628,,2014-01-11 00:00:00 UTC,9,Время предоставления государственной услуги,4,баллы,2013-12-09 10:49:29 UTC,
